"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","115,645.34","116,530.28","117,085.94","115,599.16","3.67M","-0.76%"
"Dec 27, 2019","116,533.98","117,205.09","117,802.86","115,995.12","3.91M","-0.57%"
"Dec 26, 2019","117,203.20","115,864.38","117,219.91","115,672.53","3.79M","1.16%"
"Dec 23, 2019","115,863.29","115,118.96","115,863.29","114,964.34","4.00M","0.64%"
"Dec 20, 2019","115,121.08","115,133.12","115,170.58","114,525.95","6.89M","-0.01%"
"Dec 19, 2019","115,131.25","114,313.35","115,132.01","113,712.39","5.78M","0.71%"
"Dec 18, 2019","114,314.65","112,618.25","114,338.51","112,299.90","7.94M","1.51%"
"Dec 17, 2019","112,615.66","111,896.54","112,695.34","111,896.54","5.35M","0.64%"
"Dec 16, 2019","111,896.04","112,565.28","113,196.83","111,896.04","6.08M","-0.59%"
"Dec 13, 2019","112,564.86","112,204.76","112,829.31","111,779.96","7.71M","0.33%"
"Dec 12, 2019","112,199.74","110,963.08","112,444.74","110,963.08","5.68M","1.11%"
"Dec 11, 2019","110,963.87","110,672.07","111,226.71","110,529.50","5.15M","0.26%"
"Dec 10, 2019","110,672.01","110,973.03","111,184.37","110,132.84","4.76M","-0.28%"
"Dec 09, 2019","110,977.23","111,125.10","111,453.05","110,869.87","4.99M","-0.13%"
"Dec 06, 2019","111,125.75","110,622.92","111,429.66","110,622.92","4.97M","0.46%"
"Dec 05, 2019","110,622.27","110,297.33","111,072.80","110,007.67","4.40M","0.29%"
"Dec 04, 2019","110,300.93","108,961.96","110,300.93","108,961.96","4.89M","1.23%"
"Dec 03, 2019","108,956.02","108,930.97","109,197.77","108,190.46","5.22M","0.03%"
"Dec 02, 2019","108,927.83","108,233.28","109,278.67","108,233.28","4.71M","0.64%"
"Nov 29, 2019","108,233.28","108,290.09","108,707.55","107,759.39","4.19M","-0.05%"
"Nov 28, 2019","108,290.09","107,707.75","108,333.02","107,148.02","3.67M","0.54%"
"Nov 27, 2019","107,707.75","107,059.40","107,991.15","106,312.21","4.42M","0.61%"
"Nov 26, 2019","107,059.40","108,423.93","108,423.93","106,413.93","6.90M","-1.26%"
"Nov 25, 2019","108,423.93","108,692.28","108,914.73","108,079.87","4.51M","-0.25%"
"Nov 22, 2019","108,692.28","107,496.51","108,692.28","107,156.64","4.80M","1.11%"
"Nov 21, 2019","107,496.73","105,866.12","107,496.73","105,864.47","5.82M","1.54%"
"Nov 19, 2019","105,864.18","106,268.82","106,949.81","105,366.68","3.61M","-0.38%"
"Nov 18, 2019","106,269.25","106,566.04","107,519.18","106,246.06","4.92M","-0.27%"
"Nov 14, 2019","106,556.88","106,052.39","106,757.61","105,820.37","5.36M","0.47%"
"Nov 13, 2019","106,059.95","106,751.11","106,785.79","105,260.78","5.34M","-0.65%"
"Nov 12, 2019","106,751.11","108,367.80","108,367.80","106,232.45","5.22M","-1.49%"
"Nov 11, 2019","108,367.44","107,621.72","108,367.44","106,813.53","3.93M","0.69%"
"Nov 08, 2019","107,628.98","109,572.16","109,572.16","107,126.65","5.42M","-1.78%"
"Nov 07, 2019","109,580.57","108,360.22","109,671.91","108,360.22","6.08M","1.13%"
"Nov 06, 2019","108,360.22","108,719.02","109,633.14","107,445.54","5.51M","-0.33%"
"Nov 05, 2019","108,719.02","108,778.78","109,342.86","108,252.78","5.66M","-0.06%"
"Nov 04, 2019","108,779.33","108,195.72","109,352.13","108,195.72","5.18M","0.54%"
"Nov 01, 2019","108,195.63","107,220.94","108,496.08","107,220.43","5.47M","0.91%"
"Oct 31, 2019","107,219.83","108,403.12","108,403.12","106,355.82","5.38M","-1.10%"
"Oct 30, 2019","108,407.54","107,557.11","108,407.54","106,622.01","5.45M","0.79%"
"Oct 29, 2019","107,556.26","108,189.32","108,195.22","107,313.05","4.31M","-0.58%"
"Oct 28, 2019","108,187.06","107,365.66","108,392.72","107,362.47","3.97M","0.77%"
"Oct 25, 2019","107,363.77","106,989.54","108,083.26","106,989.54","5.40M","0.35%"
"Oct 24, 2019","106,986.15","107,552.72","107,744.08","106,592.72","5.62M","-0.52%"
"Oct 23, 2019","107,543.59","107,381.11","107,958.82","107,040.79","4.66M","0.15%"
"Oct 22, 2019","107,381.11","106,022.71","107,420.73","105,927.32","5.22M","1.28%"
"Oct 21, 2019","106,022.28","104,728.89","106,026.91","104,695.52","3.50M","1.23%"
"Oct 18, 2019","104,728.89","105,011.71","105,464.25","104,524.97","4.48M","-0.27%"
"Oct 17, 2019","105,015.77","105,388.63","105,891.19","104,826.61","4.19M","-0.39%"
"Oct 16, 2019","105,422.80","104,485.87","105,462.07","103,521.08","4.51M","0.89%"
